sep 21/16:30:38.546 DEBUG2 : 		

StartSession()

sep 21/16:30:38.546 INFO   : Debug Log(info): Loading the I-jet driver
sep 21/16:30:39.235 DEBUG2 : 		Core 0: IceConnect(...)
sep 21/16:30:39.237 DEBUG2 : 		<- DoIceConnect()
sep 21/16:30:39.237 DEBUG2 : 		-> DoIceInit()
sep 21/16:30:39.237 DEBUG2 : 		Core 0: IceInit(...)
sep 21/16:30:39.240 DEBUG2 : 		ISigEmu::IceVersion(1da)
sep 21/16:30:39.240 INFO   : Debug Log(info): Emulation layer version 4.74
sep 21/16:30:39.240 DEBUG2 : 		ISigEmu::IceStatus(0)
sep 21/16:30:39.240 DEBUG2 : 		<- DoIceInit()
sep 21/16:30:39.240 DEBUG2 : 		-> CreateCmdInterpreter()
sep 21/16:30:39.240 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
sep 21/16:30:39.241 DEBUG2 : 		<- CreateCmdInterpreter()
sep 21/16:30:39.241 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
sep 21/16:30:39.241 DEBUG2 : 		-> AcquireA2DInterface()
sep 21/16:30:39.241 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
sep 21/16:30:39.241 DEBUG2 : 		  ISigA2D::LinkAttach('SigEmu',...)
sep 21/16:30:39.241 DEBUG2 : 		  ISigA2D::LinkAttach('SigTerminalLog',...)
sep 21/16:30:39.241 DEBUG2 : 		  ISigA2D::Init('null')
sep 21/16:30:39.563 INFO   : Debug Log(info): SWD clock detected: 12MHz

sep 21/16:30:39.563 INFO   : SWD clock detected: 12MHz

sep 21/16:30:39.564 INFO   : Debug Log(info): Notification to core-connect hookup.

sep 21/16:30:39.564 INFO   : Notification to core-connect hookup.

sep 21/16:30:39.564 DEBUG2 : 		<Call to _ExecDeviceCoreConnect: macro undefined
sep 21/16:30:39.564 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
sep 21/16:30:39.565 INFO   : Debug Log(info): Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

sep 21/16:30:39.565 INFO   : Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

sep 21/16:30:39.581 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x24770011).

sep 21/16:30:39.581 INFO   : Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x24770011).

sep 21/16:30:39.581 INFO   : Debug Log(info): Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

sep 21/16:30:39.581 INFO   : Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

sep 21/16:30:39.581 INFO   : Debug Log(info): Debug resources: 6 instruction comparators, 4 data watchpoints.

sep 21/16:30:39.581 INFO   : Debug resources: 6 instruction comparators, 4 data watchpoints.

sep 21/16:30:39.588 DEBUG2 : 		  ConnectToHardware(), checking status (#1): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.588 INFO   : Debug Log(minor): CPU status OK
sep 21/16:30:39.588 DEBUG2 : 		<- AcquireA2DInterface()
sep 21/16:30:39.588 DEBUG2 : 		-> AcquireEmuVectInterface()
sep 21/16:30:39.588 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuVect') (core 0)
sep 21/16:30:39.588 DEBUG2 : 		<- AcquireEmuVectInterface()
sep 21/16:30:39.588 DEBUG2 : 		-> AcquireEmuWptInterface()
sep 21/16:30:39.588 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuWpt')
sep 21/16:30:39.589 DEBUG2 : 		<- AcquireEmuWptInterface()
sep 21/16:30:39.589 DEBUG2 : 		-> AcquirePcSamplerInterface()
sep 21/16:30:39.589 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigPcSampler')
sep 21/16:30:39.589 DEBUG2 : 		<- AcquirePcSamplerInterface()
sep 21/16:30:39.589 DEBUG2 : 		<- ConnectToHardware()
sep 21/16:30:39.589 DEBUG2 : 		<Call to _ExecDevicePreReset: macro undefined
sep 21/16:30:39.589 DEBUG2 : 		<Call to execUserPreReset: macro undefined
sep 21/16:30:39.589 DEBUG2 : 		->   LowLevelReset(system, delay 200)
sep 21/16:30:39.589 INFO   : Debug Log(info): LowLevelReset(system, delay 200)
sep 21/16:30:39.589 INFO   : Debug Log(info): Calling reset script: SystemReset
sep 21/16:30:39.589 DEBUG2 : 		>Calling SystemReset
sep 21/16:30:39.589 INFO   : Debug Log(user): DMAC/Reset: Custom System Reset Strategy
sep 21/16:30:39.589 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x400401A0 0x0')
sep 21/16:30:39.589 INFO   : Debug Log(user): DMAC/Reset: Secure part.
sep 21/16:30:39.589 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x400401B0 0x0')
sep 21/16:30:39.589 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xE000EDFC 0x0')
sep 21/16:30:39.590 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xE000EDFC 0x01000000 0x00000000')
sep 21/16:30:39.590 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0x400401B0 0x00000001 0x00000000')
sep 21/16:30:39.590 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xE000ED0C 0x05FA0004 0x0')
sep 21/16:30:39.699 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.r 0xE000EDF0 0')
sep 21/16:30:39.699 INFO   : Debug Log(user): DMAC/Reset: Device halted after 0 tries.
sep 21/16:30:39.700 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
sep 21/16:30:39.700 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
sep 21/16:30:39.701 DEBUG2 : 		<Call to SystemReset completed successfully
sep 21/16:30:39.702 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:39.702 DEBUG2 : 		<-   LowLevelReset(system, delay 200)
sep 21/16:30:39.702 DEBUG2 : 		->   StartSession(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.702 DEBUG2 : 		  StartSession(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.702 DEBUG2 : 		<-   StartSession(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.703 DEBUG2 : 		StartSession() checking powerCore 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.703 DEBUG2 : 		Core 0: IceInfo(0, ...)
sep 21/16:30:39.713 DEBUG2 : 		============== Starting flash pass 0
sep 21/16:30:39.713 DEBUG2 : 		============== Downloading flashloader
sep 21/16:30:39.713 DEBUG2 : 		<Call to _ExecDeviceFlashInit: macro undefined
sep 21/16:30:39.713 DEBUG2 : 		<Call to execUserFlashInit: macro undefined
sep 21/16:30:39.728 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10000000, 512 bytes [by 0] = [ 00 80 00 10 21 01 00 10 ... ])
sep 21/16:30:39.730 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000000, 512 bytes [by 0] = [ 00 80 00 10 21 01 00 10 ... ])
sep 21/16:30:39.730 DEBUG2 : 		============== Running flashloader
sep 21/16:30:39.731 INFO   : Debug Log(info): Loaded debugee: C:\Program Files (x86)\IAR Systems\Embedded Workbench 8.4\arm\config\flashloader\AmbiqMicro\FlashApollo3_RAM256K.out
sep 21/16:30:39.731 DEBUG2 : 		<Call to _ExecDeviceFlashPreReset: macro undefined
sep 21/16:30:39.731 DEBUG2 : 		<Call to execUserFlashPreReset: macro undefined
sep 21/16:30:39.731 DEBUG2 : 		-> LowLevelReset(0)
sep 21/16:30:39.731 DEBUG2 : 		->   LowLevelReset(software, delay 200)
sep 21/16:30:39.731 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
sep 21/16:30:39.731 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.731 DEBUG2 : 		  core 0: IsigEmu::ParamSet('ResetStyle', 'SOFTWARE')
sep 21/16:30:39.731 DEBUG2 : 		Core 0: LowLevelSoftwareReset()
sep 21/16:30:39.739 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.742 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.742 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.949 DEBUG2 : 		->   LowLevelReset(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.949 DEBUG2 : 		  LowLevelReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.949 DEBUG2 : 		<-   LowLevelReset(): WaitForCpuResetToComplete(core 0)
sep 21/16:30:39.950 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:39.950 DEBUG2 : 		<-   LowLevelReset(software, delay 200)
sep 21/16:30:39.950 DEBUG2 : 		<- LowLevelReset(0)
sep 21/16:30:39.950 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000000, 4 bytes [by 4] = [ 00 80 00 10 ])
sep 21/16:30:39.950 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000004, 4 bytes [by 4] = [ 21 01 00 10 ])
sep 21/16:30:39.950 DEBUG2 : 		CpuRegListSet(Core 0, SP_Main ->17) = 0x10008000 (268468224)
sep 21/16:30:39.951 DEBUG2 : 		CpuRegListSet(Core 0, PC ->15) = 0x10000120 (268435744)
sep 21/16:30:39.951 DEBUG2 : 		CpuRegListGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
sep 21/16:30:39.951 DEBUG2 : 		CpuRegListGet(Core 0, PC -> 15) = 0x10000120 (268435744)
sep 21/16:30:39.952 INFO   : Debug Log(info): Target reset
sep 21/16:30:39.952 DEBUG2 : 		<Call to _ExecDeviceFlashReset: macro undefined
sep 21/16:30:39.952 DEBUG2 : 		<Call to execUserFlashReset: macro undefined
sep 21/16:30:39.953 DEBUG2 : 		SetCodeBreak(<9:0xf000000000000000>, 1 units, 'C-SPY Terminal I/O && library support module')
sep 21/16:30:39.954 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 c0 00 00 00 00 00 00 ... ])
sep 21/16:30:39.954 DEBUG2 : 		Write reg 1 of 1: PC[0x1ec] = 0x10000120 (268435744)
sep 21/16:30:39.954 DEBUG2 : 		CpuRegListSet(Core 0, 1 registers)
sep 21/16:30:39.955 DEBUG2 : 		CpuRegListGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
sep 21/16:30:39.956 DEBUG2 : 		SetCodeBreak(<0:0x10000088>, 1 units, '')
sep 21/16:30:39.956 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x10000088, attr <0x2000d: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_HW>)
sep 21/16:30:39.957 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x10000088, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
sep 21/16:30:39.958 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
sep 21/16:30:39.958 DEBUG2 : 		-> LowLevelGo(core 0)
sep 21/16:30:39.959 DEBUG2 : 		CpuRegListGet(Core 0, PC ->15) = 0x10000120 (268435744)
sep 21/16:30:39.959 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000120, 2 bytes [by 2] = [ ff f7 ])
sep 21/16:30:39.959 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.959 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
sep 21/16:30:39.966 DEBUG2 : 		CpuRegListGet(Core 0, PC -> 15) = 0x10000088 (268435592)
sep 21/16:30:39.966 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
sep 21/16:30:39.966 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
sep 21/16:30:39.966 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 2 polls in 0.001s
sep 21/16:30:39.966 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000088, 2 bytes [by 2] = [ fe e7 ])
sep 21/16:30:39.966 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x10000088, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
sep 21/16:30:39.966 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
sep 21/16:30:39.966 DEBUG2 : 		<- LowLevelGo(core 0)
sep 21/16:30:39.966 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
sep 21/16:30:39.967 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:39.967 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 c0 00 00 00 00 00 00 ... ])
sep 21/16:30:39.967 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10000200, 32 bytes [by 0] = [ 00 c0 00 00 00 20 00 00 ... ])
sep 21/16:30:39.968 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 00 00 00 04 00 00 00 ... ])
sep 21/16:30:39.968 DEBUG2 : 		Write reg 1 of 1: PC[0x1ec] = 0x10000130 (268435760)
sep 21/16:30:39.968 DEBUG2 : 		CpuRegListSet(Core 0, 1 registers)
sep 21/16:30:39.968 DEBUG2 : 		CpuRegListGet(Core 0, XPSR ->16) = 0x41000000 (1090519040)
sep 21/16:30:39.968 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
sep 21/16:30:39.968 DEBUG2 : 		-> LowLevelGo(core 0)
sep 21/16:30:39.968 DEBUG2 : 		CpuRegListGet(Core 0, PC ->15) = 0x10000130 (268435760)
sep 21/16:30:39.969 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000130, 2 bytes [by 2] = [ ff f7 ])
sep 21/16:30:39.969 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:39.969 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
sep 21/16:30:40.037 DEBUG2 : 		CpuRegListGet(Core 0, PC -> 15) = 0x10000088 (268435592)
sep 21/16:30:40.037 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
sep 21/16:30:40.037 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
sep 21/16:30:40.037 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 259 polls in 0.061s
sep 21/16:30:40.037 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000088, 2 bytes [by 2] = [ fe e7 ])
sep 21/16:30:40.037 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x10000088, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
sep 21/16:30:40.037 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
sep 21/16:30:40.037 DEBUG2 : 		<- LowLevelGo(core 0)
sep 21/16:30:40.037 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
sep 21/16:30:40.038 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:40.038 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 00 00 00 00 00 00 00 ... ])
sep 21/16:30:40.038 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10000200, 28996 bytes [by 0] = [ 00 23 00 10 69 2d 01 00 ... ])
sep 21/16:30:40.087 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 c0 00 00 44 71 00 00 ... ])
sep 21/16:30:40.087 DEBUG2 : 		Write reg 1 of 1: PC[0x1ec] = 0x10000128 (268435752)
sep 21/16:30:40.087 DEBUG2 : 		CpuRegListSet(Core 0, 1 registers)
sep 21/16:30:40.088 DEBUG2 : 		CpuRegListGet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
sep 21/16:30:40.088 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
sep 21/16:30:40.089 DEBUG2 : 		-> LowLevelGo(core 0)
sep 21/16:30:40.089 DEBUG2 : 		CpuRegListGet(Core 0, PC ->15) = 0x10000128 (268435752)
sep 21/16:30:40.089 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000128, 2 bytes [by 2] = [ ff f7 ])
sep 21/16:30:40.089 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
sep 21/16:30:40.089 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
sep 21/16:30:40.201 DEBUG2 : 		CpuRegListGet(Core 0, PC -> 15) = 0x10000088 (268435592)
sep 21/16:30:40.201 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
sep 21/16:30:40.201 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
sep 21/16:30:40.201 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 447 polls in 0.105s
sep 21/16:30:40.201 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000088, 2 bytes [by 2] = [ fe e7 ])
sep 21/16:30:40.202 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x10000088, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
sep 21/16:30:40.202 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
sep 21/16:30:40.202 DEBUG2 : 		<- LowLevelGo(core 0)
sep 21/16:30:40.202 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
sep 21/16:30:40.202 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:40.202 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10007f6c, 20 bytes [by 0] = [ 00 c0 00 00 00 00 00 00 ... ])
sep 21/16:30:40.204 DEBUG2 : 		CpuRegListGet(Core 0, LR -> 14) = 0x10000131 (268435761)
sep 21/16:30:40.204 DEBUG2 : 		CpuRegListGet(Core 0, XPSR -> 16) = 0x41000000 (1090519040)
sep 21/16:30:40.204 DEBUG2 : 		CpuRegListGet(Core 0, SP_Main -> 17) = 0x10008000 (268468224)
sep 21/16:30:40.204 DEBUG2 : 		CpuRegListGet(Core 0, SP_Proc -> 18) = 0x0 (0)
sep 21/16:30:40.261 DEBUG2 : 		ClearCodeBreak(<0:0x10000088>, 1 units)
sep 21/16:30:40.261 DEBUG2 : 		  ClearCodeBreak(): BreakClr(bank 0, count 1, addr 0x10000088)
sep 21/16:30:40.262 DEBUG2 : 		<Call to _ExecDeviceFlashExit: macro undefined
sep 21/16:30:40.262 DEBUG2 : 		<Call to execUserFlashExit: macro undefined
sep 21/16:30:40.263 INFO   : Debug Log(info): Downloaded C:\version-control\EDD-LCP_Control\Firmware\LCP_Control\iar\bin\freertos_lowpower.out to flash memory.
sep 21/16:30:40.263 INFO   : Debug Log(info): 28996 bytes downloaded into FLASH (16.23 Kbytes/sec)
sep 21/16:30:40.270 DEBUG2 : 		============== Finishing flash pass
sep 21/16:30:40.270 DEBUG2 : 		============== Start loading application
sep 21/16:30:40.270 DEBUG2 : 		PrepareDownload()
sep 21/16:30:40.270 DEBUG2 : 		->   LowLevelReset(system, delay 200)
sep 21/16:30:40.270 DEBUG2 : 		>Calling SystemReset
sep 21/16:30:40.270 INFO   : Debug Log(user): DMAC/Reset: Custom System Reset Strategy
sep 21/16:30:40.270 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x400401A0 0x0')
sep 21/16:30:40.271 INFO   : Debug Log(user): DMAC/Reset: Secure part.
sep 21/16:30:40.271 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x400401B0 0x0')
sep 21/16:30:40.271 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xE000EDFC 0x0')
sep 21/16:30:40.271 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xE000EDFC 0x00000000 0x00000000')
sep 21/16:30:40.271 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0x400401B0 0x00000001 0x00000000')
sep 21/16:30:40.272 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.w 0xE000ED0C 0x05FA0004 0x0')
sep 21/16:30:40.386 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.r 0xE000EDF0 0')
sep 21/16:30:40.387 INFO   : Debug Log(user): DMAC/Reset: Device halted after 0 tries.
sep 21/16:30:40.387 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
sep 21/16:30:40.388 DEBUG2 : 		ISigCmdInterpreter::Execute('refresh')
sep 21/16:30:40.389 DEBUG2 : 		<Call to SystemReset completed successfully
sep 21/16:30:40.390 DEBUG2 : 		ISigPcSampler::SampleRegister(SIGAPIARM_SAMPLE_7M_CYCLE) = 0x0
sep 21/16:30:40.390 DEBUG2 : 		<-   LowLevelReset(system, delay 200)
